Generation,evals,avg,std,min,max,best_one,fitness_best_one
22,340,[  7.         451.88915515],[0.         4.83642416],[  7.         441.23435098],[  7.         460.12710361],"[19, 16, 14, 9, 6, 7, 23, 22, 24, 25, 20, 21, 4, 2, 10, 11, 8, 1, 3, 5, 18, 17, 13, 15, 12]","(7.0, 441.2343509751847)"
23,350,[  7.         448.57008516],[0.        2.3649728],[  7.         441.09016552],[  7.         449.68418004],"[19, 16, 14, 9, 6, 11, 24, 22, 23, 25, 20, 21, 7, 2, 10, 8, 5, 4, 1, 3, 18, 17, 13, 15, 12]","(7.0, 441.09016551782037)"
24,340,[  7.         447.21482643],[0.         2.99787175],[  7.         439.80229838],[  7.         449.68418004],"[19, 16, 14, 9, 6, 8, 23, 22, 24, 25, 20, 21, 1, 2, 10, 11, 7, 4, 5, 3, 18, 17, 13, 15, 12]","(7.0, 439.8022983775735)"
25,356,[  7.         444.64951623],[0.         2.45245662],[  7.         439.80229838],[  7.         448.48317195],"[19, 16, 14, 9, 6, 8, 23, 22, 24, 25, 20, 21, 1, 2, 10, 11, 7, 4, 5, 3, 18, 17, 13, 15, 12]","(7.0, 439.8022983775735)"
26,332,[  7.         442.48500663],[0.         0.95944751],[  7.         435.98194129],[  7.         444.53702366],"[19, 16, 14, 9, 6, 21, 24, 22, 23, 25, 20, 8, 1, 2, 5, 11, 10, 4, 7, 3, 18, 17, 13, 15, 12]","(7.0, 435.9819412870716)"
27,344,[  7.         441.81932291],[0.         1.05836841],[  7.         434.38250844],[  7.        442.3323458],"[19, 16, 14, 9, 6, 7, 23, 22, 24, 25, 20, 21, 4, 2, 1, 11, 8, 10, 3, 5, 18, 17, 13, 15, 12]","(7.0, 434.3825084389449)"
28,338,[  7.        441.0940916],[0.       1.531162],[  7.         433.15570758],[  7.        442.3323458],"[19, 16, 14, 9, 6, 8, 23, 25, 24, 22, 20, 21, 1, 2, 10, 11, 7, 4, 5, 3, 18, 17, 13, 15, 12]","(7.0, 433.15570757856983)"
29,334,[  7.         440.04712531],[0.         1.95511531],[  7.         433.15570758],[  7.         441.23435098],"[19, 16, 14, 9, 6, 8, 23, 25, 24, 22, 20, 21, 1, 2, 10, 11, 7, 4, 5, 3, 18, 17, 13, 15, 12]","(7.0, 433.15570757856983)"
30,332,[  7.         438.64023444],[0.         2.29127993],[  7.         431.08956505],[  7.         441.09016552],"[19, 16, 14, 10, 6, 21, 24, 22, 23, 25, 20, 8, 1, 2, 5, 11, 9, 4, 7, 3, 18, 17, 13, 15, 12]","(7.0, 431.08956505193885)"
31,324,[  7.         436.76013256],[0.        1.8602638],[  7.         431.08956505],[  7.         439.80229838],"[19, 16, 14, 10, 6, 21, 24, 22, 23, 25, 20, 8, 1, 2, 5, 11, 9, 4, 7, 3, 18, 17, 13, 15, 12]","(7.0, 431.08956505193885)"
32,346,[  7.         435.15509349],[0.         1.10436544],[  7.         431.08956505],[  7.         435.98194129],"[19, 16, 14, 10, 6, 21, 24, 22, 23, 25, 20, 8, 1, 2, 5, 11, 9, 4, 7, 3, 18, 17, 13, 15, 12]","(7.0, 431.08956505193885)"
33,356,[  7.         434.30715387],[0.        1.2347195],[  7.         427.06271014],[  7.         435.68176999],"[19, 16, 14, 9, 6, 21, 23, 22, 24, 25, 20, 7, 4, 2, 1, 11, 8, 10, 3, 5, 18, 17, 13, 15, 12]","(7.0, 427.06271013918587)"
34,338,[  7.         433.31667985],[0.        1.2617773],[  7.         426.81029128],[  7.         434.38250844],"[19, 16, 14, 9, 6, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 11, 8, 10, 3, 5, 18, 17, 13, 15, 12]","(7.0, 426.8102912824729)"
35,322,[  7.         432.42593639],[0.         1.38739075],[  7.         426.81029128],[  7.         433.15570758],"[19, 16, 14, 9, 6, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 11, 8, 10, 3, 5, 18, 17, 13, 15, 12]","(7.0, 426.8102912824729)"
36,324,[  7.         431.65869723],[0.         1.68461036],[  7.         426.81029128],[  7.         433.15570758],"[19, 16, 14, 9, 6, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 11, 8, 10, 3, 5, 18, 17, 13, 15, 12]","(7.0, 426.8102912824729)"
37,332,[  7.         430.33553586],[0.         1.56936062],[  7.         426.81029128],[  7.         431.53622551],"[19, 16, 14, 9, 6, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 11, 8, 10, 3, 5, 18, 17, 13, 15, 12]","(7.0, 426.8102912824729)"
38,346,[  7.        429.2651269],[0.         1.82161461],[  7.        421.6149143],[  7.         431.08956505],"[19, 16, 14, 10, 6, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 11, 8, 9, 3, 5, 18, 17, 13, 15, 12]","(7.0, 421.61491429548107)"
39,340,[  7.         427.60669821],[0.         1.18676431],[  7.        421.6149143],[  7.         430.14260194],"[19, 16, 14, 10, 6, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 11, 8, 9, 3, 5, 18, 17, 13, 15, 12]","(7.0, 421.61491429548107)"
40,342,[  7.         426.85830518],[0.         0.94337113],[  7.        421.6149143],[  7.         427.41689299],"[19, 16, 14, 10, 6, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 11, 8, 9, 3, 5, 18, 17, 13, 15, 12]","(7.0, 421.61491429548107)"
41,338,[  7.         426.44603751],[0.         1.36586633],[  7.        421.6149143],[  7.         427.06271014],"[19, 16, 14, 10, 6, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 11, 8, 9, 3, 5, 18, 17, 13, 15, 12]","(7.0, 421.61491429548107)"
42,356,[  7.         425.64242052],[0.         2.06041416],[  7.        414.9523997],[  7.         426.81029128],"[19, 16, 14, 9, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 11, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 414.9523996982154)"
43,348,[  7.         424.28866965],[0.         2.45077305],[  7.        414.9523997],[  7.         426.81029128],"[19, 16, 14, 9, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 11, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 414.9523996982154)"
44,344,[  7.         422.13276159],[0.         1.44592802],[  7.        414.9523997],[  7.         424.52629727],"[19, 16, 14, 9, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 11, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 414.9523996982154)"
45,344,[  7.         421.15072425],[0.         1.42758538],[  7.        414.9523997],[  7.        421.6149143],"[19, 16, 14, 9, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 11, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 414.9523996982154)"
46,344,[  7.        420.5176024],[0.         2.03425808],[  7.        414.9523997],[  7.        421.6149143],"[19, 16, 14, 9, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 11, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 414.9523996982154)"
47,332,[  7.         419.23192367],[0.         2.47573028],[  7.         412.47393797],[  7.        421.6149143],"[19, 16, 14, 11, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 412.473937966674)"
48,342,[  7.         417.22730829],[0.         2.26011873],[  7.         412.47393797],[  7.         420.19525177],"[19, 16, 14, 11, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 412.473937966674)"
49,338,[  7.         415.15797644],[0.         0.93579411],[  7.         412.47393797],[  7.         418.68566684],"[19, 16, 14, 11, 10, 21, 23, 22, 25, 24, 20, 7, 4, 2, 1, 9, 8, 6, 3, 5, 18, 17, 13, 15, 12]","(7.0, 412.473937966674)"
